loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,disbursement_method,term_months,emp_length_years,log_annual_inc,log_loan_amnt,loan_to_income_ratio,installment_to_monthly_income,annual_income_to_installment,fico_avg,credit_history_years,inquiries_per_open_account,delinq_per_open_account,pub_rec_per_open_account,has_bankruptcy,is_mortgage
18000.0,18000.0,18000.0, 60 months,9.8,380.68,B,B3,2 years,MORTGAGE,42000.0,Not Verified,Dec-2015,debt_consolidation,TN,2.77,0.0,710.0,714.0,0.0,,69.0,4.0,1.0,2630.0,17.0,10.0,w,724.0,720.0,0.0,,0.0,0.0,168968.0,0.0,0.0,0.0,0.0,124.0,0.0,,0.0,2.0,1220.0,17.0,15500.0,3.0,0.0,4.0,2.0,42242.0,6404.0,24.7,0.0,0.0,141.0,469.8000000000002,15.0,15.0,2.0,24.0,,4.0,,0.0,2.0,3.0,2.0,4.0,2.0,3.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,190275.0,2750.8,8500.0,0.0,Cash,60,2.0,10.645448706505872,9.798182590890704,0.42856122473274444,0.10873464724364468,110.0398239362817,712.0,39.9830253251198,0.0,0.0,0.2,1,1
16000.0,16000.0,16000.0, 36 months,6.99,493.97,A,A3,10+ years,MORTGAGE,150000.0,Not Verified,Dec-2015,credit_card,CO,12.18,1.0,695.0,699.0,4.0,34.0,,11.0,0.0,13766.0,72.0,41.0,w,724.0,720.0,0.0,20.0,0.0,0.0,309439.0,3.0,5.0,2.0,3.0,1.0,60146.0,80.0,2.0,2.0,5029.0,72.0,19100.0,0.0,0.0,3.0,6.0,28130.0,5033.0,91.0,0.0,0.0,137.0,379.0,10.0,1.0,5.0,51.0,48.0,0.0,34.0,1.0,3.0,5.0,2.0,7.0,14.0,5.0,22.0,3.0,11.0,,0.0,1.0,5.0,80.0,100.0,0.0,0.0,330623.0,73912.0,15100.0,75314.0,Cash,36,10.0,11.918397239722838,9.680406499268875,0.10666595556029626,0.03951443884489241,303.04866961634036,697.0,31.583846680355922,0.3333333333333333,0.08333333333333333,0.0,0,1
15000.0,15000.0,15000.0, 36 months,5.32,451.73,A,A1,,RENT,65000.0,Not Verified,Dec-2015,credit_card,IL,22.32,1.0,695.0,699.0,2.0,21.0,,18.0,0.0,16130.0,22.8,46.0,w,704.0,700.0,0.0,39.0,0.0,6795.600000000046,19977.0,1.0,2.0,0.0,0.0,33.0,3847.0,11.0,2.0,8.0,4921.0,19.0,70700.0,0.0,3.0,3.0,8.0,1175.0,29474.0,28.1,0.0,0.0,149.0,469.8000000000002,2.0,2.0,3.0,17.0,39.0,2.0,21.0,5.0,4.0,8.0,7.0,15.0,9.0,16.0,34.0,8.0,18.0,0.0,0.0,0.0,2.0,87.0,0.0,0.0,0.0,105239.0,19977.0,41000.0,34539.0,Cash,36,,11.082157933374816,9.61587214452889,0.23076568052799187,0.08338091429274595,143.5734322885605,697.0,39.9830253251198,0.10526315789473684,0.05263157894736842,0.0,0,0
10000.0,10000.0,10000.0, 36 months,8.38,315.12,B,B1,< 1 year,RENT,48000.0,Source Verified,Dec-2015,credit_card,CA,6.69,0.0,695.0,699.0,1.0,,,10.0,0.0,8051.0,53.0,12.0,w,679.0,675.0,0.0,,0.0,0.0,32865.0,0.0,7.0,0.0,2.0,16.0,24814.0,102.0,0.0,0.0,4900.0,83.0,15200.0,1.0,0.0,2.0,2.0,3287.0,7149.0,53.0,0.0,0.0,52.0,69.0,31.0,16.0,0.0,31.0,,5.0,,0.0,3.0,3.0,3.0,4.0,7.0,3.0,4.0,3.0,10.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,39450.0,32865.0,15200.0,24250.0,Cash,36,0.0,10.77897712300635,9.210440366976515,0.20832899314597614,0.07876030992251937,151.84107301024926,697.0,5.752224503764545,0.09090909090909091,0.0,0.0,0,0
7000.0,7000.0,7000.0, 36 months,11.48,230.77,B,B5,1 year,RENT,66000.0,Verified,Dec-2015,debt_consolidation,TX,11.69,0.0,660.0,664.0,1.0,29.0,,5.0,0.0,2371.0,98.0,12.0,w,689.0,685.0,0.0,41.0,0.0,0.0,33477.0,0.0,3.0,0.0,1.0,18.0,31106.0,77.0,0.0,0.0,1370.0,98.0,2700.0,0.0,0.0,2.0,1.0,6695.0,1213.0,98.0,0.0,0.0,149.0,121.0,89.0,18.0,0.0,113.0,,2.0,29.0,0.0,2.0,2.0,2.0,2.0,6.0,2.0,6.0,2.0,5.0,,0.0,0.0,0.0,67.0,100.0,0.0,0.0,42645.0,33477.0,2425.0,40220.0,Cash,36,1.0,11.097425172408931,8.853808274977197,0.10605899910607415,0.04195055444464643,284.76506881822496,662.0,12.41889117043121,0.16666666666666666,0.0,0.0,0,0
8400.0,8400.0,8400.0, 36 months,10.64,273.58,B,B4,10+ years,OWN,46000.0,Verified,Dec-2015,other,CA,21.03,0.0,680.0,684.0,0.0,73.0,,6.0,0.0,14450.0,75.3,18.0,w,629.0,625.0,0.0,73.0,0.0,0.0,176092.0,1.0,1.0,0.0,0.0,33.0,12807.0,60.0,0.0,0.0,3827.0,67.0,19200.0,0.0,0.0,1.0,1.0,29349.0,773.0,90.3,0.0,0.0,137.0,196.0,91.0,3.0,6.0,144.0,,5.0,,1.0,3.0,4.0,3.0,5.0,4.0,4.0,8.0,4.0,6.0,0.0,0.0,0.0,1.0,94.4,100.0,0.0,0.0,190035.0,27257.0,8000.0,21399.0,Cash,36,10.0,10.736418414365374,9.036106025364846,0.18260472598421773,0.07135008258715117,167.52858911792558,682.0,16.334017796030118,0.0,0.0,0.0,0,0
8000.0,8000.0,8000.0, 36 months,12.88,269.09,C,C2,7 years,MORTGAGE,42000.0,Verified,Dec-2015,debt_consolidation,TX,10.23,0.0,670.0,674.0,0.0,,,9.0,0.0,4160.0,51.4,11.0,w,599.0,595.0,0.0,,0.0,0.0,11525.0,2.0,3.0,1.0,1.0,3.0,7365.0,66.0,3.0,5.0,2479.0,60.0,8100.0,2.0,0.0,3.0,6.0,1281.0,613.0,86.7,0.0,0.0,112.0,28.200000000000003,2.0,2.0,0.0,7.0,,2.0,,0.0,2.0,3.0,2.0,2.0,5.0,6.0,6.0,3.0,9.0,0.0,0.0,0.0,4.0,77.8,50.0,0.0,0.0,19190.0,11525.0,4600.0,11090.0,Cash,36,7.0,10.645448706505872,8.987321812850123,0.19047165543677533,0.07686089688660382,155.50372098189493,672.0,9.333333333333334,0.0,0.0,0.0,0,1
18000.0,18000.0,18000.0, 36 months,7.89,563.15,A,A5,1 year,RENT,119000.0,Source Verified,Dec-2015,other,NY,18.46,0.0,785.0,789.0,0.0,,,9.0,0.0,6459.0,11.1,16.0,w,594.0,590.0,0.0,,0.0,0.0,46313.0,0.0,3.0,0.0,2.0,14.0,39854.0,68.0,2.0,3.0,2350.0,40.0,58100.0,0.0,3.0,1.0,5.0,5146.0,31756.0,10.0,0.0,0.0,49.0,80.0,12.0,12.0,0.0,17.0,,12.0,,0.0,2.0,3.0,3.0,4.0,4.0,6.0,12.0,3.0,9.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,116700.0,46313.0,35300.0,58600.0,Cash,36,1.0,11.686887175419702,9.798182590890704,0.1512592331156881,0.056782509326790576,210.93680758663476,787.0,6.666666666666667,0.0,0.0,0.0,0,0
7000.0,7000.0,7000.0, 36 months,7.91,219.07,A,A5,< 1 year,RENT,26000.0,Verified,Dec-2015,debt_consolidation,NY,12.51,0.0,705.0,709.0,0.0,,,5.0,0.0,7483.0,66.8,7.0,w,784.0,780.0,0.0,,0.0,0.0,20372.0,0.0,1.0,0.0,0.0,114.0,12889.0,86.0,0.0,2.0,3414.0,78.0,11200.0,0.0,0.0,0.0,2.0,4074.0,2717.0,73.4,0.0,0.0,135.0,110.0,16.0,16.0,0.0,16.0,,,,0.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,5.0,0.0,0.0,0.0,0.0,100.0,33.3,0.0,0.0,26148.0,20372.0,10200.0,14948.0,Cash,36,0.0,10.165890277802454,8.853808274977197,0.26922041459943846,0.10106258649853914,118.14422683691554,707.0,11.247091033538672,0.0,0.0,0.0,0,0
4800.0,4800.0,4800.0, 36 months,9.17,153.02,B,B2,8 years,MORTGAGE,53000.0,Not Verified,Dec-2015,home_improvement,KS,26.29,1.0,765.0,769.0,1.0,5.0,,13.0,0.0,7980.0,19.1,26.0,w,734.0,730.0,0.0,,0.0,0.0,232441.0,1.0,2.0,1.0,3.0,12.0,34987.0,74.0,0.0,0.0,1211.0,48.0,41700.0,1.0,1.0,5.0,4.0,23244.0,32737.0,5.7,0.0,0.0,143.0,442.0,35.0,3.0,3.0,41.0,,4.0,,0.0,2.0,3.0,7.0,8.0,11.0,9.0,12.0,3.0,13.0,0.0,0.0,0.0,2.0,96.0,0.0,0.0,0.0,289392.0,42967.0,34700.0,47292.0,Cash,36,8.0,10.87806606028079,8.47657950853094,0.090564328974925,0.03463819512563193,344.11115439553305,767.0,36.82956878850103,0.07142857142857142,0.07142857142857142,0.0,0,1
12000.0,12000.0,12000.0, 60 months,17.27,299.98,D,D3,8 years,MORTGAGE,113000.0,Not Verified,Dec-2015,debt_consolidation,TN,10.93,0.0,670.0,674.0,1.0,,,9.0,0.0,21475.0,79.0,17.0,w,674.0,670.0,0.0,,0.0,0.0,380044.0,3.0,2.0,0.0,1.0,14.0,47251.0,93.0,2.0,5.0,9365.0,88.0,27200.0,2.0,1.0,3.0,8.0,42227.0,2825.0,88.4,0.0,0.0,193.0,171.0,3.0,3.0,6.0,3.0,,4.0,,0.0,5.0,5.0,5.0,5.0,4.0,6.0,7.0,5.0,9.0,0.0,0.0,0.0,3.0,100.0,80.0,0.0,0.0,390955.0,68726.0,24300.0,50620.0,Cash,60,8.0,11.635151947212842,9.392745258631441,0.10619375049778321,0.03185290057692989,375.440228586617,672.0,16.082135523613964,0.1,0.0,0.0,0,1
17700.0,17700.0,17700.0, 36 months,16.55,627.1,D,D2,,MORTGAGE,53000.0,Verified,Dec-2015,credit_card,NY,23.48,0.0,660.0,664.0,0.0,,,8.0,0.0,38599.0,98.0,9.0,w,609.0,605.0,0.0,,0.0,0.0,82588.0,0.0,1.0,1.0,1.0,11.0,9389.0,78.0,3.0,5.0,14721.0,93.0,39400.0,0.0,0.0,0.0,6.0,10324.0,801.0,98.0,0.0,0.0,127.0,127.0,8.0,8.0,1.0,8.0,,,,0.0,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,8.0,0.0,0.0,0.0,4.0,100.0,100.0,0.0,0.0,123650.0,47988.0,39400.0,12000.0,Cash,36,,10.87806606028079,9.781376414141157,0.33395596309503595,0.14195276541160493,84.38146791912115,662.0,13.91375770020534,0.0,0.0,0.0,0,1
32750.0,32750.0,32750.0, 60 months,20.5,876.82,E,E4,4 years,RENT,78000.0,Source Verified,Dec-2015,debt_consolidation,GA,25.43,1.0,670.0,674.0,1.0,3.0,,18.0,0.0,34011.0,62.3,38.0,w,694.0,690.0,0.0,,0.0,0.0,276522.0,2.0,4.0,0.0,1.0,13.0,89323.0,105.0,3.0,5.0,7272.0,81.0,54600.0,0.0,0.0,2.0,6.0,17283.0,12104.0,64.2,0.0,0.0,160.0,154.0,3.0,3.0,3.0,3.0,,5.0,,0.0,4.0,6.0,6.0,10.0,16.0,13.0,19.0,7.0,18.0,0.0,0.0,0.0,3.0,100.0,33.3,0.0,0.0,327554.0,123334.0,33800.0,93504.0,Cash,60,4.0,11.264476926102367,10.396688774948379,0.4198664119690773,0.134874634671589,88.85648538424734,672.0,13.333333333333334,0.05263157894736842,0.05263157894736842,0.0,0,0
20800.0,20800.0,20800.0, 60 months,11.99,462.58,C,C1,10+ years,RENT,141000.0,Source Verified,Dec-2015,debt_consolidation,NY,18.23,0.0,675.0,679.0,0.0,41.0,,16.0,0.0,23155.0,73.3,27.0,w,554.0,550.0,0.0,,0.0,0.0,166246.0,2.0,7.0,2.0,5.0,2.0,125565.0,89.0,0.0,4.0,7854.0,80.0,31600.0,0.0,0.0,2.0,9.0,10390.0,6745.0,77.4,0.0,0.0,130.0,175.0,14.0,2.0,0.0,14.0,41.0,7.0,41.0,0.0,6.0,6.0,6.0,10.0,7.0,8.0,17.0,6.0,16.0,0.0,0.0,0.0,2.0,92.6,83.3,0.0,0.0,204301.0,166246.0,29900.0,146886.0,Cash,60,10.0,11.856522261533737,9.942756341456828,0.1475166842788349,0.03936516041187984,304.15462271884036,677.0,14.82819986310746,0.0,0.0,0.0,0,0
5150.0,5150.0,5150.0, 36 months,15.77,180.48,D,D1,,MORTGAGE,20200.0,Verified,Dec-2015,debt_consolidation,FL,26.62,0.0,665.0,669.0,0.0,,64.0,6.0,1.0,2256.0,39.6,15.0,w,709.0,705.0,0.0,,0.0,0.0,15205.0,0.0,2.0,1.0,2.0,7.0,12949.0,83.0,0.0,1.0,1655.0,71.0,5700.0,0.0,2.0,1.0,3.0,2534.0,1244.0,64.5,0.0,0.0,90.0,291.0,18.0,7.0,3.0,51.0,,8.0,,0.0,2.0,2.0,2.0,4.0,3.0,4.0,9.0,2.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,21400.0,15205.0,3500.0,15700.0,Cash,36,,9.913487387114461,8.546946149565585,0.2549378743626553,0.10715218681971106,111.30703107780472,667.0,24.249144421629023,0.0,0.0,0.14285714285714285,1,1
10000.0,10000.0,10000.0, 36 months,9.8,321.74,B,B3,1 year,MORTGAGE,100000.0,Verified,Dec-2015,car,WA,8.41,1.0,680.0,684.0,1.0,4.0,,11.0,0.0,13147.0,34.4,23.0,w,754.0,750.0,0.0,,0.0,180.0,525322.0,1.0,1.0,1.0,1.0,6.0,7480.0,88.0,0.0,1.0,7314.0,44.0,38200.0,3.0,0.0,1.0,3.0,52532.0,21168.0,36.2,0.0,0.0,50.0,312.0,20.0,6.0,6.0,20.0,29.0,5.0,29.0,0.0,3.0,4.0,5.0,8.0,2.0,6.0,15.0,4.0,11.0,0.0,0.0,0.0,1.0,91.3,25.0,0.0,0.0,587335.0,20627.0,33200.0,8500.0,Cash,36,1.0,11.51293546492023,9.210440366976515,0.0999990000099999,0.03860416749990001,309.84693561380675,682.0,25.998631074606433,0.08333333333333333,0.08333333333333333,0.0,0,1
